,zipcode,agi_stub,N1
103013,10457,4,900
103014,10457,5,470
103015,10457,6,40
103016,10458,1,19820
103017,10458,2,9110
103018,10458,3,3470
103019,10458,4,1120
103020,10458,5,760
103021,10458,6,40
103022,10459,1,12280
103023,10459,2,5930
103024,10459,3,1990
103025,10459,4,660
103026,10459,5,420
103027,10459,6,0
103028,10460,1,14600
103029,10460,2,6900
103030,10460,3,2300
103031,10460,4,800
103032,10460,5,490
103033,10460,6,30
103034,10461,1,8580
103035,10461,2,6210
103036,10461,3,4160
103037,10461,4,2280
103038,10461,5,2530
103039,10461,6,330
103040,10462,1,16080
103041,10462,2,10910
103042,10462,3,6950
103043,10462,4,3110
103044,10462,5,2300
103045,10462,6,160
103046,10463,1,12390
103047,10463,2,7620
103048,10463,3,5120
103049,10463,4,3080
103050,10463,5,4290
103051,10463,6,1440
103052,10464,1,560
103053,10464,2,400
103054,10464,3,360
103055,10464,4,270
103056,10464,5,420
103057,10464,6,160
103058,10465,1,6210
103059,10465,2,4410
103060,10465,3,3330
103061,10465,4,2180
103062,10465,5,3050
103063,10465,6,520
103064,10466,1,14740
103065,10466,2,9390
103066,10466,3,4410
103067,10466,4,2150
103068,10466,5,1930
103069,10466,6,120
103070,10467,1,22140
103071,10467,2,12740
103072,10467,3,5830
103073,10467,4,2200
103074,10467,5,1630
103075,10467,6,100
103076,10468,1,20220
103077,10468,2,9370
103078,10468,3,3790
103079,10468,4,1350
103080,10468,5,870
103081,10468,6,60
103082,10469,1,13400
103083,10469,2,8810
103084,10469,3,4920
103085,10469,4,2570
103086,10469,5,2670
103087,10469,6,300
103088,10470,1,2840
103089,10470,2,1940
103090,10470,3,1230
103091,10470,4,670
103092,10470,5,840
103093,10470,6,140
103094,10471,1,2360
103095,10471,2,1650
103096,10471,3,1640
103097,10471,4,1230
103098,10471,5,2100
103099,10471,6,1090
103100,10472,1,16190
103101,10472,2,7800
103102,10472,3,3010
103103,10472,4,1110
103104,10472,5,720
103105,10472,6,50
103106,10473,1,12730
103107,10473,2,7720
103108,10473,3,3940
103109,10473,4,1830
103110,10473,5,1570
103111,10473,6,120
103112,10474,1,2940
103113,10474,2,1410
103114,10474,3,490
103115,10474,4,140
103116,10474,5,70
103117,10474,6,0
103118,10475,1,7390
103119,10475,2,6500
103120,10475,3,4680
103121,10475,4,2430
103122,10475,5,1700
103123,10475,6,90
103124,10501,1,190
103125,10501,2,90
103126,10501,3,70
103127,10501,4,60
103128,10501,5,140
103129,10501,6,150
103130,10502,1,650
103131,10502,2,290
103132,10502,3,240
103133,10502,4,230
103134,10502,5,630
103135,10502,6,800
103136,10503,1,0
103137,10503,2,40
103138,10503,3,0
103139,10503,4,20
103140,10503,5,30
103141,10503,6,30
103142,10504,1,960
103143,10504,2,380
103144,10504,3,320
103145,10504,4,260
103146,10504,5,720
103147,10504,6,2070
103148,10505,1,210
103149,10505,2,110
103150,10505,3,70
103151,10505,4,40
103152,10505,5,120
103153,10505,6,120
103154,10506,1,710
103155,10506,2,230
103156,10506,3,200
103157,10506,4,150
103158,10506,5,460
103159,10506,6,1070
103160,10507,1,810
103161,10507,2,540
103162,10507,3,320
103163,10507,4,210
103164,10507,5,420
103165,10507,6,360
103166,10509,1,2920
103167,10509,2,1770
103168,10509,3,1290
103169,10509,4,1020
103170,10509,5,2090
103171,10509,6,870
103172,10510,1,1030
103173,10510,2,490
103174,10510,3,380
103175,10510,4,310
103176,10510,5,990
103177,10510,6,1560
103178,10511,1,330
103179,10511,2,210
103180,10511,3,160
103181,10511,4,130
103182,10511,5,250
103183,10511,6,80
103184,10512,1,3350
103185,10512,2,2230
103186,10512,3,1800
103187,10512,4,1410
103188,10512,5,2830
103189,10512,6,890
103190,10514,1,1190
103191,10514,2,390
103192,10514,3,310
103193,10514,4,240
103194,10514,5,790
103195,10514,6,2440
103196,10516,1,690
103197,10516,2,430
103198,10516,3,340
103199,10516,4,290
103200,10516,5,650
103201,10516,6,340
103202,10517,1,110
103203,10517,2,80
103204,10517,3,60
103205,10517,4,60
103206,10517,5,90
103207,10517,6,40
103208,10518,1,200
103209,10518,2,90
103210,10518,3,60
103211,10518,4,50
103212,10518,5,160
103213,10518,6,180
103214,10519,1,70
103215,10519,2,60
103216,10519,3,30
103217,10519,4,30
103218,10519,5,60
103219,10519,6,30
103220,10520,1,1550
103221,10520,2,890
103222,10520,3,790
103223,10520,4,640
103224,10520,5,1410
103225,10520,6,1170
103226,10522,1,1150
103227,10522,2,740
103228,10522,3,710
103229,10522,4,530
103230,10522,5,1090
103231,10522,6,1020
103232,10523,1,1470
103233,10523,2,1030
103234,10523,3,740
103235,10523,4,510
103236,10523,5,840
103237,10523,6,250
103238,10524,1,530
103239,10524,2,300
103240,10524,3,260
103241,10524,4,210
103242,10524,5,510
103243,10524,6,330
103244,10526,1,240
103245,10526,2,130
103246,10526,3,110
103247,10526,4,80
103248,10526,5,220
103249,10526,6,210
103250,10527,1,90
103251,10527,2,50
103252,10527,3,40
103253,10527,4,30
103254,10527,5,120
103255,10527,6,110
103256,10528,1,1540
103257,10528,2,910
103258,10528,3,760
103259,10528,4,540
103260,10528,5,990
103261,10528,6,1160
103262,10530,1,1430
103263,10530,2,970
103264,10530,3,1070
103265,10530,4,880
103266,10530,5,1850
103267,10530,6,1040
103268,10532,1,590
103269,10532,2,400
103270,10532,3,350
103271,10532,4,240
103272,10532,5,700
103273,10532,6,320
103274,10533,1,790
103275,10533,2,400
103276,10533,3,380
103277,10533,4,330
103278,10533,5,750
103279,10533,6,1100
103280,10535,1,130
103281,10535,2,100
103282,10535,3,70
103283,10535,4,40
103284,10535,5,60
103285,10535,6,20
103286,10536,1,1360
103287,10536,2,560
103288,10536,3,430
103289,10536,4,330
103290,10536,5,1010
103291,10536,6,1560
103292,10537,1,360
103293,10537,2,280
103294,10537,3,190
103295,10537,4,160
103296,10537,5,220
103297,10537,6,40
103298,10538,1,1660
103299,10538,2,760
103300,10538,3,720
103301,10538,4,530
103302,10538,5,1310
103303,10538,6,3070
103304,10541,1,3480
103305,10541,2,2020
103306,10541,3,1590
103307,10541,4,1300
103308,10541,5,3170
103309,10541,6,1120
103310,10543,1,2730
103311,10543,2,1570
103312,10543,3,1190
103313,10543,4,840
103314,10543,5,1740
103315,10543,6,1660
103316,10545,1,150
103317,10545,2,40
103318,10545,3,0
103319,10545,4,0
103320,10545,5,0
103321,10545,6,0
103322,10546,1,160
103323,10546,2,70
103324,10546,3,60
103325,10546,4,70
103326,10546,5,160
103327,10546,6,200
103328,10547,1,1050
103329,10547,2,660
103330,10547,3,510
103331,10547,4,360
103332,10547,5,830
103333,10547,6,270
103334,10548,1,420
103335,10548,2,270
103336,10548,3,230
103337,10548,4,170
103338,10548,5,380
103339,10548,6,120
103340,10549,1,2620
103341,10549,2,1420
103342,10549,3,900
103343,10549,4,580
103344,10549,5,1210
103345,10549,6,1460
103346,10550,1,8570
103347,10550,2,5550
103348,10550,3,2600
103349,10550,4,1200
103350,10550,5,1070
103351,10550,6,70
103352,10552,1,3010
103353,10552,2,2280
103354,10552,3,1910
103355,10552,4,1220
103356,10552,5,1830
103357,10552,6,660
103358,10553,1,2110
103359,10553,2,1640
103360,10553,3,900
103361,10553,4,520
103362,10553,5,640
103363,10553,6,90
103364,10560,1,510
103365,10560,2,300
103366,10560,3,230
103367,10560,4,190
103368,10560,5,450
103369,10560,6,460
103370,10562,1,4890
103371,10562,2,3250
103372,10562,3,2170
103373,10562,4,1520
103374,10562,5,2760
103375,10562,6,1340
103376,10566,1,4480
103377,10566,2,2940
103378,10566,3,1750
103379,10566,4,1090
103380,10566,5,1630
103381,10566,6,350
103382,10567,1,2450
103383,10567,2,1440
103384,10567,3,1120
103385,10567,4,970
103386,10567,5,2470
103387,10567,6,1360
103388,10570,1,1490
103389,10570,2,750
103390,10570,3,590
103391,10570,4,460
103392,10570,5,1220
103393,10570,6,1530
103394,10573,1,6760
103395,10573,2,4310
103396,10573,3,2400
103397,10573,4,1330
103398,10573,5,2200
103399,10573,6,1890
103400,10576,1,570
103401,10576,2,230
103402,10576,3,200
103403,10576,4,160
103404,10576,5,510
103405,10576,6,820
103406,10577,1,420
103407,10577,2,140
103408,10577,3,130
103409,10577,4,80
103410,10577,5,180
103411,10577,6,600
103412,10578,1,110
103413,10578,2,70
103414,10578,3,50
103415,10578,4,30
103416,10578,5,130
103417,10578,6,30
103418,10579,1,1000
103419,10579,2,660
103420,10579,3,570
103421,10579,4,510
103422,10579,5,1110
103423,10579,6,480
103424,10580,1,1940
103425,10580,2,740
103426,10580,3,630
103427,10580,4,470
103428,10580,5,1180
103429,10580,6,3050
103430,10583,1,4010
103431,10583,2,1710
103432,10583,3,1570
103433,10583,4,1260
103434,10583,5,3280
103435,10583,6,6900
103436,10588,1,350
103437,10588,2,210
103438,10588,3,210
103439,10588,4,140
103440,10588,5,320
103441,10588,6,120
103442,10589,1,900
103443,10589,2,580
103444,10589,3,640
103445,10589,4,580
103446,10589,5,1190
103447,10589,6,690
103448,10590,1,740
103449,10590,2,370
103450,10590,3,320
103451,10590,4,270
103452,10590,5,740
103453,10590,6,760
103454,10591,1,3590
103455,10591,2,2430
103456,10591,3,1420
103457,10591,4,1050
103458,10591,5,1920
103459,10591,6,1580
103460,10594,1,640
103461,10594,2,370
103462,10594,3,300
103463,10594,4,250
103464,10594,5,600
103465,10594,6,390
103466,10595,1,760
103467,10595,2,420
103468,10595,3,420
103469,10595,4,300
103470,10595,5,770
103471,10595,6,530
103472,10596,1,260
103473,10596,2,190
103474,10596,3,150
103475,10596,4,100
103476,10596,5,140
103477,10596,6,20
103478,10597,1,120
103479,10597,2,60
103480,10597,3,30
103481,10597,4,20
103482,10597,5,70
103483,10597,6,200
103484,10598,1,3580
103485,10598,2,1960
103486,10598,3,1680
103487,10598,4,1320
103488,10598,5,3850
103489,10598,6,2170
103490,10601,1,1750
103491,10601,2,1200
103492,10601,3,840
103493,10601,4,570
103494,10601,5,990
103495,10601,6,700
103496,10603,1,2810
103497,10603,2,2010
103498,10603,3,1580
103499,10603,4,1070
103500,10603,5,1770
103501,10603,6,730
103502,10604,1,1700
103503,10604,2,1100
103504,10604,3,740
103505,10604,4,510
103506,10604,5,890
103507,10604,6,660
103508,10605,1,2450
103509,10605,2,1480
103510,10605,3,1220
103511,10605,4,900
103512,10605,5,2110
103513,10605,6,1940
103514,10606,1,3030
103515,10606,2,1920
103516,10606,3,1030
103517,10606,4,620
103518,10606,5,1030
103519,10606,6,650
103520,10607,1,1100
103521,10607,2,740
103522,10607,3,540
103523,10607,4,380
103524,10607,5,800
103525,10607,6,470
103526,10701,1,12230
103527,10701,2,7270
103528,10701,3,3950
103529,10701,4,2170
103530,10701,5,2640
103531,10701,6,520
103532,10703,1,3850
103533,10703,2,2600
103534,10703,3,1560
103535,10703,4,1010
103536,10703,5,1400
103537,10703,6,220
103538,10704,1,4840
103539,10704,2,3830
103540,10704,3,3060
103541,10704,4,1940
103542,10704,5,2780
103543,10704,6,530
103544,10705,1,8050
103545,10705,2,4760
103546,10705,3,2470
103547,10705,4,1280
103548,10705,5,1540
103549,10705,6,410
103550,10706,1,970
103551,10706,2,560
103552,10706,3,480
103553,10706,4,420
103554,10706,5,960
103555,10706,6,1120
103556,10707,1,1280
103557,10707,2,750
103558,10707,3,690
103559,10707,4,520
103560,10707,5,1150
103561,10707,6,810
103562,10708,1,2340
103563,10708,2,1430
103564,10708,3,1540
