,hir,0,1,WEEK_RATIO,TRAFFIC
hir,1.0,-0.09557656699888128,-0.003178344524982522,0.18396191050776536,0.17338315338706928
0,-0.09557656699888128,1.0,0.8652372688659078,-0.18713578712906231,0.2561729881910065
1,-0.003178344524982522,0.8652372688659078,1.0,0.020952691075581415,0.4078528168019291
WEEK_RATIO,0.18396191050776536,-0.18713578712906231,0.020952691075581415,1.0,-0.004266714651171213
TRAFFIC,0.17338315338706928,0.2561729881910065,0.4078528168019291,-0.004266714651171213,1.0
