,zipcode,agi_stub
103012,10457,3
103013,10457,4
103014,10457,5
103015,10457,6
103016,10458,1
103017,10458,2
103018,10458,3
103019,10458,4
103020,10458,5
103021,10458,6
103022,10459,1
103023,10459,2
103024,10459,3
103025,10459,4
103026,10459,5
103027,10459,6
103028,10460,1
103029,10460,2
103030,10460,3
103031,10460,4
103032,10460,5
103033,10460,6
103034,10461,1
103035,10461,2
103036,10461,3
103037,10461,4
103038,10461,5
103039,10461,6
103040,10462,1
103041,10462,2
103042,10462,3
103043,10462,4
103044,10462,5
103045,10462,6
103046,10463,1
103047,10463,2
103048,10463,3
103049,10463,4
103050,10463,5
103051,10463,6
103052,10464,1
103053,10464,2
103054,10464,3
103055,10464,4
103056,10464,5
103057,10464,6
103058,10465,1
103059,10465,2
103060,10465,3
103061,10465,4
103062,10465,5
103063,10465,6
103064,10466,1
103065,10466,2
103066,10466,3
103067,10466,4
103068,10466,5
103069,10466,6
103070,10467,1
103071,10467,2
103072,10467,3
103073,10467,4
103074,10467,5
103075,10467,6
103076,10468,1
103077,10468,2
103078,10468,3
103079,10468,4
103080,10468,5
103081,10468,6
103082,10469,1
103083,10469,2
103084,10469,3
103085,10469,4
103086,10469,5
103087,10469,6
103088,10470,1
103089,10470,2
103090,10470,3
103091,10470,4
103092,10470,5
103093,10470,6
103094,10471,1
103095,10471,2
103096,10471,3
103097,10471,4
103098,10471,5
103099,10471,6
103100,10472,1
103101,10472,2
103102,10472,3
103103,10472,4
103104,10472,5
103105,10472,6
103106,10473,1
103107,10473,2
103108,10473,3
103109,10473,4
103110,10473,5
103111,10473,6
103112,10474,1
103113,10474,2
103114,10474,3
103115,10474,4
103116,10474,5
103117,10474,6
103118,10475,1
103119,10475,2
103120,10475,3
103121,10475,4
103122,10475,5
103123,10475,6
103124,10501,1
103125,10501,2
103126,10501,3
103127,10501,4
103128,10501,5
103129,10501,6
103130,10502,1
103131,10502,2
103132,10502,3
103133,10502,4
103134,10502,5
103135,10502,6
103136,10503,1
103137,10503,2
103138,10503,3
103139,10503,4
103140,10503,5
103141,10503,6
103142,10504,1
103143,10504,2
103144,10504,3
103145,10504,4
103146,10504,5
103147,10504,6
103148,10505,1
103149,10505,2
103150,10505,3
103151,10505,4
103152,10505,5
103153,10505,6
103154,10506,1
103155,10506,2
103156,10506,3
103157,10506,4
103158,10506,5
103159,10506,6
103160,10507,1
103161,10507,2
103162,10507,3
103163,10507,4
103164,10507,5
103165,10507,6
103166,10509,1
103167,10509,2
103168,10509,3
103169,10509,4
103170,10509,5
103171,10509,6
103172,10510,1
103173,10510,2
103174,10510,3
103175,10510,4
103176,10510,5
103177,10510,6
103178,10511,1
103179,10511,2
103180,10511,3
103181,10511,4
103182,10511,5
103183,10511,6
103184,10512,1
103185,10512,2
103186,10512,3
103187,10512,4
103188,10512,5
103189,10512,6
103190,10514,1
103191,10514,2
103192,10514,3
103193,10514,4
103194,10514,5
103195,10514,6
103196,10516,1
103197,10516,2
103198,10516,3
103199,10516,4
103200,10516,5
103201,10516,6
103202,10517,1
103203,10517,2
103204,10517,3
103205,10517,4
103206,10517,5
103207,10517,6
103208,10518,1
103209,10518,2
103210,10518,3
103211,10518,4
103212,10518,5
103213,10518,6
103214,10519,1
103215,10519,2
103216,10519,3
103217,10519,4
103218,10519,5
103219,10519,6
103220,10520,1
103221,10520,2
103222,10520,3
103223,10520,4
103224,10520,5
103225,10520,6
103226,10522,1
103227,10522,2
103228,10522,3
103229,10522,4
103230,10522,5
103231,10522,6
103232,10523,1
103233,10523,2
103234,10523,3
103235,10523,4
103236,10523,5
103237,10523,6
103238,10524,1
103239,10524,2
103240,10524,3
103241,10524,4
103242,10524,5
103243,10524,6
103244,10526,1
103245,10526,2
103246,10526,3
103247,10526,4
103248,10526,5
103249,10526,6
103250,10527,1
103251,10527,2
103252,10527,3
103253,10527,4
103254,10527,5
103255,10527,6
103256,10528,1
103257,10528,2
103258,10528,3
103259,10528,4
103260,10528,5
103261,10528,6
103262,10530,1
103263,10530,2
103264,10530,3
103265,10530,4
103266,10530,5
103267,10530,6
103268,10532,1
103269,10532,2
103270,10532,3
103271,10532,4
103272,10532,5
103273,10532,6
103274,10533,1
103275,10533,2
103276,10533,3
103277,10533,4
103278,10533,5
103279,10533,6
103280,10535,1
103281,10535,2
103282,10535,3
103283,10535,4
103284,10535,5
103285,10535,6
103286,10536,1
103287,10536,2
103288,10536,3
103289,10536,4
103290,10536,5
103291,10536,6
103292,10537,1
103293,10537,2
103294,10537,3
103295,10537,4
103296,10537,5
103297,10537,6
103298,10538,1
103299,10538,2
103300,10538,3
103301,10538,4
103302,10538,5
103303,10538,6
103304,10541,1
103305,10541,2
103306,10541,3
103307,10541,4
103308,10541,5
103309,10541,6
103310,10543,1
103311,10543,2
103312,10543,3
103313,10543,4
103314,10543,5
103315,10543,6
103316,10545,1
103317,10545,2
103318,10545,3
103319,10545,4
103320,10545,5
103321,10545,6
103322,10546,1
103323,10546,2
103324,10546,3
103325,10546,4
103326,10546,5
103327,10546,6
103328,10547,1
103329,10547,2
103330,10547,3
103331,10547,4
103332,10547,5
103333,10547,6
103334,10548,1
103335,10548,2
103336,10548,3
103337,10548,4
103338,10548,5
103339,10548,6
103340,10549,1
103341,10549,2
103342,10549,3
103343,10549,4
103344,10549,5
103345,10549,6
103346,10550,1
103347,10550,2
103348,10550,3
103349,10550,4
103350,10550,5
103351,10550,6
103352,10552,1
103353,10552,2
103354,10552,3
103355,10552,4
103356,10552,5
103357,10552,6
103358,10553,1
103359,10553,2
103360,10553,3
103361,10553,4
103362,10553,5
103363,10553,6
103364,10560,1
103365,10560,2
103366,10560,3
103367,10560,4
103368,10560,5
103369,10560,6
103370,10562,1
103371,10562,2
103372,10562,3
103373,10562,4
103374,10562,5
103375,10562,6
103376,10566,1
103377,10566,2
103378,10566,3
103379,10566,4
103380,10566,5
103381,10566,6
103382,10567,1
103383,10567,2
103384,10567,3
103385,10567,4
